acc,species,chromosome,start,end,strand
ENSG00000167680,Homo_sapiens,19,4542914,4558457,-1
ENSG00000188334,Homo_sapiens,19,47968046,47992170,-1
ENSG00000257103,Homo_sapiens,19,34172658,34219877,1
ENSG00000129991,Homo_sapiens,19,55151771,55156725,-1
ENSG00000130270,Homo_sapiens,19,1807168,1812237,-1
ENSG00000196867,Homo_sapiens,19,56538953,56553116,1
ENSG00000006659,Homo_sapiens,19,39704502,39709412,1
ENSG00000127616,Homo_sapiens,19,10984152,11062282,1
ENSG00000204978,Homo_sapiens,19,41443158,41444765,1
ENSG00000167670,Homo_sapiens,19,4402662,4443392,1
ENSG00000196589,Homo_sapiens,19,7018971,7021432,-1
ENSG00000273777,Homo_sapiens,19,44511010,44529788,-1
ENSG00000204532,Homo_sapiens,19,56205914,56209200,1
ENSG00000142538,Homo_sapiens,19,49422414,49423441,-1
ENSG00000197782,Homo_sapiens,19,40072993,40090938,-1
ENSG00000105058,Homo_sapiens,19,16185455,16186649,1
ENSG00000095752,Homo_sapiens,19,55365559,55370463,-1
ENSG00000121406,Homo_sapiens,19,57527393,57540876,1
ENSG00000142230,Homo_sapiens,19,47130895,47210170,1
ENSG00000171223,Homo_sapiens,19,12791496,12793315,1
ENSG00000060558,Homo_sapiens,19,3136193,3163769,1
ENSG00000090932,Homo_sapiens,19,39498968,39508481,1
ENSG00000197647,Homo_sapiens,19,12014758,12035710,-1
ENSG00000186010,Homo_sapiens,19,19516230,19528022,1
ENSG00000090372,Homo_sapiens,19,46719507,46746480,-1
ENSG00000130005,Homo_sapiens,19,1398600,1399802,-1
ENSG00000090006,Homo_sapiens,19,40627259,40629811,1
ENSG00000186431,Homo_sapiens,19,54874290,54889863,1
ENSG00000179218,Homo_sapiens,19,12940397,12944403,1
ENSG00000174788,Homo_sapiens,19,7631615,7633748,-1
ENSG00000179922,Homo_sapiens,19,55620742,55624601,-1
ENSG00000142530,Homo_sapiens,19,50466788,50476746,-1
ENSG00000072071,Homo_sapiens,19,14149953,14206169,-1
ENSG00000142515,Homo_sapiens,19,50854915,50860764,1
ENSG00000269058,Homo_sapiens,19,16483969,16496119,-1
ENSG00000269526,Homo_sapiens,19,53013921,53016122,1
ENSG00000132005,Homo_sapiens,19,13961538,14006285,-1
ENSG00000142405,Homo_sapiens,19,53793743,53824394,-1
ENSG00000204514,Homo_sapiens,19,57872822,57889074,-1
ENSG00000130818,Homo_sapiens,19,9528007,9538590,-1
ENSG00000268465,Homo_sapiens,19,48465837,48472431,1
ENSG00000237521,Homo_sapiens,19,9250930,9252479,1
ENSG00000132017,Homo_sapiens,19,13959561,13961101,1
ENSG00000104998,Homo_sapiens,19,14031748,14053216,1
ENSG00000126254,Homo_sapiens,19,35629131,35637641,1
ENSG00000180532,Homo_sapiens,19,57670242,57679151,1
ENSG00000172081,Homo_sapiens,19,2078511,2096270,-1
ENSG00000128016,Homo_sapiens,19,39407439,39408143,1
ENSG00000131398,Homo_sapiens,19,50315508,50329377,-1
ENSG00000125741,Homo_sapiens,19,45552884,45602212,-1
ENSG00000104852,Homo_sapiens,19,49085451,49108563,1
ENSG00000105676,Homo_sapiens,19,19034103,19057881,1
ENSG00000196268,Homo_sapiens,19,21397133,21427163,1
ENSG00000187266,Homo_sapiens,19,11377625,11384312,-1
ENSG00000081665,Homo_sapiens,19,19785842,19821709,-1
ENSG00000099800,Homo_sapiens,19,2426565,2427538,-1
ENSG00000010310,Homo_sapiens,19,45668257,45681988,1
ENSG00000167554,Homo_sapiens,19,52349145,52367122,1
ENSG00000104870,Homo_sapiens,19,49514058,49526333,1
ENSG00000197487,Homo_sapiens,19,56176020,56185775,1
ENSG00000153879,Homo_sapiens,19,33374312,33382686,1
ENSG00000083845,Homo_sapiens,19,58387269,58394803,1
ENSG00000104859,Homo_sapiens,19,45039521,45070954,1
ENSG00000105467,Homo_sapiens,19,48373108,48376271,1
ENSG00000181143,Homo_sapiens,19,8848844,8981342,-1
ENSG00000186026,Homo_sapiens,19,44072144,44089613,1
ENSG00000104918,Homo_sapiens,19,7669086,7670454,1
ENSG00000197405,Homo_sapiens,19,47309874,47322066,1
ENSG00000161249,Homo_sapiens,19,35503420,35513475,-1
ENSG00000105649,Homo_sapiens,19,18196784,18204074,-1
ENSG00000159882,Homo_sapiens,19,44002948,44013926,1
ENSG00000267855,Homo_sapiens,19,8311284,8321396,-1
ENSG00000221826,Homo_sapiens,19,42723982,42740384,-1
ENSG00000130255,Homo_sapiens,19,5690316,5691667,1
ENSG00000130433,Homo_sapiens,19,53992288,54012664,1
ENSG00000130734,Homo_sapiens,19,10551936,10553144,1
ENSG00000130545,Homo_sapiens,19,6464531,6466769,1
ENSG00000079432,Homo_sapiens,19,42284665,42295797,1
ENSG00000167468,Homo_sapiens,19,1103926,1106787,1
ENSG00000104936,Homo_sapiens,19,45769847,45782388,-1
ENSG00000167633,Homo_sapiens,19,54816490,54830778,1
ENSG00000197838,Homo_sapiens,19,41088472,41096195,1
ENSG00000105675,Homo_sapiens,19,35550043,35563658,-1
