acc,species,chromosome,symbol,start,end,length,strand
NP_001073062.1,Bos_taurus,23,PRIM2,2476202,2809093,332891,-1
NP_001193835.1,Bos_taurus,23,RAB23,2936080,2953601,17521,1
NP_001029436.1,Bos_taurus,23,BAG2,2957953,2966813,8860,-1
NP_001179613.1,Bos_taurus,23,ZNF451,2971788,3058877,87089,-1
XP_010816413.1,Bos_taurus,23,LOC104975635,3089798,3101566,11768,-1
NP_001192483.1,Bos_taurus,23,BEND6,3125703,3149209,23506,-1
XP_015315228.1,Bos_taurus,23,LOC535297,3171446,3687407,515961,1
XP_015315231.1,Bos_taurus,23,LOC107131708,3521748,3523623,1875,1
XP_010816383.1,Bos_taurus,23,LOC104975620,3598757,3600695,1938,1
NP_001291945.1,Bos_taurus,23,BMP5,4390361,4533848,143487,1
NP_001178122.1,Bos_taurus,23,HMGCLL1,4709422,4906605,197183,1
XP_002697218.1,Bos_taurus,23,GFRAL,4937119,5011035,73916,-1
NP_001179606.1,Bos_taurus,23,HCRTR2,5043871,5175679,131808,-1
NP_001192724.1,Bos_taurus,23,FAM83B,5382147,5456386,74239,-1
NP_001030279.1,Bos_taurus,23,TINAG,5954017,6059880,105863,-1
NP_001192398.1,Bos_taurus,23,LRRC1,6530426,6666336,135910,-1
NP_001095425.1,Bos_taurus,23,KLHL31,6783411,6784602,1191,1
NP_001077143.1,Bos_taurus,23,GCLC,6922379,6965163,42784,1
NP_001077254.1,Bos_taurus,23,DSB,6975319,6990901,15582,1
NP_001012696.1,Bos_taurus,23,BOLA-DYA,7011969,7016704,4735,1
NP_001012697.1,Bos_taurus,23,BOLA-DYB,7037656,7045301,7645,-1
NP_001013618.1,Bos_taurus,23,BOLA-DOB,7054418,7063641,9223,-1
NP_776647.1,Bos_taurus,23,TAP2,7079942,7086289,6347,-1
NP_001040087.1,Bos_taurus,23,LOC618733,7102159,7108985,6826,-1
NP_001035570.1,Bos_taurus,23,PSMB8,7113530,7116653,3123,-1
NP_001091527.1,Bos_taurus,23,TAP1,7118280,7126521,8241,-1
NP_001029560.1,Bos_taurus,23,PSMB9,7127111,7133556,6445,1
NP_001108326.1,Bos_taurus,23,H2B,7150820,7151201,381,1
NP_001035571.1,Bos_taurus,23,BOLA-DMB,7187385,7193432,6047,-1
NP_001012692.2,Bos_taurus,23,BOLA-DMA,7204349,7207030,2681,1
NP_001192849.1,Bos_taurus,23,BOLA-DOA,7218988,7264202,45214,-1
NP_001039331.1,Bos_taurus,23,BRD2,7240059,7247225,7166,1
NP_001039664.1,Bos_taurus,23,COL11A2,7290454,7318840,28386,-1
NP_001077109.1,Bos_taurus,23,RXRB,7321253,7326765,5512,-1
NP_001069705.2,Bos_taurus,23,SLC39A7,7327540,7331098,3558,1
NP_001039789.1,Bos_taurus,23,HSD17B8,7331904,7333829,1925,1
NP_001098521.1,Bos_taurus,23,RING1,7338398,7341191,2793,1
NP_001179989.1,Bos_taurus,23,VPS52,7371501,7388338,16837,-1
NP_001028786.1,Bos_taurus,23,RPS18,7388745,7393324,4579,1
NP_001070565.1,Bos_taurus,23,B3GALT4,7394421,7395558,1137,1
NP_001015564.1,Bos_taurus,23,WDR46,7396283,7405420,9137,-1
NP_001068889.1,Bos_taurus,23,PFDN6,7406076,7407024,948,1
NP_001068622.1,Bos_taurus,23,RGL2,7408357,7414640,6283,-1
NP_001039350.1,Bos_taurus,23,TAPBP,7416811,7425484,8673,-1
XP_005223345.1,Bos_taurus,23,ZBTB22,7426486,7428391,1905,-1
NP_001068623.1,Bos_taurus,23,DAXX,7430007,7433175,3168,-1
NP_001095406.1,Bos_taurus,23,KIFC1,7512905,7527481,14576,1
NP_001092384.2,Bos_taurus,23,PHF1,7529643,7533769,4126,1
NP_001068847.1,Bos_taurus,23,CUTA,7534316,7535286,970,-1
NP_001192395.1,Bos_taurus,23,SYNGAP1,7537951,7566234,28283,1
NP_001178391.1,Bos_taurus,23,ZBTB9,7569199,7570585,1386,1
NP_001071386.1,Bos_taurus,23,BAK1,7655891,7658885,2994,-1
NP_001092463.1,Bos_taurus,23,LOC516410,7662116,7666998,4882,1
XP_015315241.1,Bos_taurus,23,LOC100847319,7675174,7679416,4242,1
NP_776795.1,Bos_taurus,23,ITPR3,7687273,7756518,69245,1
NP_001193543.1,Bos_taurus,23,MNF1,7758195,7783928,25733,-1
NP_001035632.2,Bos_taurus,23,IP6K3,7797291,7810505,13214,-1
NP_001179408.1,Bos_taurus,23,LEMD2,7843194,7858338,15144,-1
NP_776363.1,Bos_taurus,23,MLN,7865269,7870112,4843,-1
XP_003587709.1,Bos_taurus,23,GRM4,8085749,8188237,102488,-1
NP_001069991.1,Bos_taurus,23,HMGA1,8263647,8267618,3971,1
NP_001103917.1,Bos_taurus,23,LOC100126544,8269435,8270377,942,-1
NP_001075935.1,Bos_taurus,23,NUDT3,8299345,8414435,115090,-1
NP_001029888.1,Bos_taurus,23,RPS10,8434615,8440388,5773,-1
NP_001094571.1,Bos_taurus,23,PACSIN1,8525929,8531878,5949,1
NP_001075047.1,Bos_taurus,23,SPDEF,8537857,8544735,6878,-1
NP_001069939.1,Bos_taurus,23,C23H6orf106,8592159,8688735,96576,-1
NP_001069802.1,Bos_taurus,23,SNRPC,8726741,8737181,10440,-1
NP_001029448.1,Bos_taurus,23,TAF11,8829704,8836752,7048,-1
NP_001103549.1,Bos_taurus,23,TCP11,9023111,9051908,28797,-1
XP_002697245.2,Bos_taurus,23,LOC107131220,9196405,9201776,5371,1
XP_005223365.1,Bos_taurus,23,LOC107131220,9196405,9201776,5371,1
XP_003587718.4,Bos_taurus,23,ZNF76,9225816,9235277,9461,1
NP_001092464.1,Bos_taurus,23,DEF6,9237803,9263491,25688,1
NP_001077105.1,Bos_taurus,23,PPARD,9340997,9353750,12753,1
NP_001179278.1,Bos_taurus,23,FANCE,9381625,9390135,8510,1
NP_001015647.1,Bos_taurus,23,RPL10A,9391550,9393982,2432,1
NP_001193657.1,Bos_taurus,23,TULP1,9422867,9437261,14394,-1
NP_001179791.1,Bos_taurus,23,FKBP5,9523457,9593213,69756,-1
XP_002697259.1,Bos_taurus,23,CLPSL2,9711821,9714190,2369,1
NP_001071435.1,Bos_taurus,23,CLPS,9723924,9726190,2266,-1
XP_015315260.1,Bos_taurus,23,LOC107131713,9732875,9733271,396,-1
NP_001192875.1,Bos_taurus,23,LHFPL5,9733330,9742158,8828,1
XP_002697249.2,Bos_taurus,23,SRPK1,9753394,9824588,71194,-1
NP_001095600.1,Bos_taurus,23,SLC26A8,9853525,9935037,81512,-1
NP_001095644.1,Bos_taurus,23,MAPK14,9945204,10020848,75644,1
NP_001014947.1,Bos_taurus,23,MAPK13,10036740,10044800,8060,1
NP_001192556.1,Bos_taurus,23,BRPF3,10099946,10130192,30246,1
NP_001092670.1,Bos_taurus,23,PNPLA1,10167496,10222306,54810,1
XP_015315266.1,Bos_taurus,23,PXT1,10319263,10338707,19444,-1
NP_001094563.1,Bos_taurus,23,KCTD20,10376706,10388224,11518,1
NP_001075071.1,Bos_taurus,23,STK38,10397543,10431778,34235,-1
NP_001029872.1,Bos_taurus,23,SRSF3,10483016,10487325,4309,1
NP_001075891.1,Bos_taurus,23,RPS4Y1,10528535,10529327,792,-1
NP_001092428.1,Bos_taurus,23,CDKN1A,10565064,10567022,1958,1
XP_003587720.1,Bos_taurus,23,LOC520334,10627252,10628281,1029,1
NP_001192568.1,Bos_taurus,23,CPNE5,10632881,10734548,101667,-1
NP_001014869.1,Bos_taurus,23,PPIL1,10749915,10769294,19379,-1
XP_005223417.1,Bos_taurus,23,C23H6orf89,10785266,10808457,23191,1
XP_005223418.1,Bos_taurus,23,C23H6orf89,10785266,10808457,23191,1
XP_002697254.3,Bos_taurus,23,C23H6orf89,10785266,10808457,23191,1
NP_001019658.1,Bos_taurus,23,PI16,10836849,10847835,10986,1
NP_001096775.1,Bos_taurus,23,MTCH1,10854951,10873743,18792,-1
NP_001069038.1,Bos_taurus,23,FGD2,10892239,10917998,25759,1
NP_776569.1,Bos_taurus,23,PIM1,11051838,11055416,3578,-1
NP_001073096.1,Bos_taurus,23,TMEM217,11109986,11110565,579,-1
NP_001092618.1,Bos_taurus,23,TBC1D22B,11133141,11205614,72473,1
NP_001039681.1,Bos_taurus,23,RNF8,11229849,11266714,36865,1
NP_001075899.1,Bos_taurus,23,CMTR1,11305605,11355819,50214,1
NP_001073705.1,Bos_taurus,23,CCDC167,11358397,11373667,15270,-1
NP_001179811.1,Bos_taurus,23,MDGA1,11531142,11594184,63042,-1
NP_001095615.1,Bos_taurus,23,ZFAND3,11712948,12038930,325982,1
NP_001121970.1,Bos_taurus,23,BTBD9,12047050,12066121,19071,-1
NP_001121970.1,Bos_taurus,23,BTBD9,12124681,12425511,300830,-1
NP_001076965.1,Bos_taurus,23,GLO1,12484841,12509188,24347,-1
XP_015315271.1,Bos_taurus,23,DNAH8,12550366,12883810,333444,1
XP_010816463.1,Bos_taurus,23,LOC101904084,12756146,12756620,474,1
XP_015315270.1,Bos_taurus,23,GLP1R,12913567,12940627,27060,1
NP_001033314.1,Bos_taurus,23,SAYSD1,12964618,12970995,6377,-1
NP_001178073.1,Bos_taurus,23,KCNK5,13057052,13095305,38253,-1
NP_776983.1,Bos_taurus,23,KCNK17,13160630,13172855,12225,-1
XP_003587722.1,Bos_taurus,23,KCNK16,13175050,13181345,6295,-1
XP_015315273.1,Bos_taurus,23,LOC104968668,13191045,13212289,21244,-1
XP_015315272.1,Bos_taurus,23,LOC100139627,13483734,13613272,129538,-1
XP_015315274.1,Bos_taurus,23,LOC107131718,13821468,13831009,9541,-1
NP_001159769.1,Bos_taurus,23,MOCS1,13833190,13866914,33724,-1
NP_001013615.1,Bos_taurus,23,MOCS1,13836087,13866914,30827,-1
NP_001179524.1,Bos_taurus,23,LRFN2,14309127,14351087,41960,-1
XP_005223572.1,Bos_taurus,23,UNC5CL,14959071,14965828,6757,-1
XP_005223573.1,Bos_taurus,23,UNC5CL,14959071,14965828,6757,-1
XP_010816539.1,Bos_taurus,23,UNC5CL,14959071,14965828,6757,-1
XP_015315316.1,Bos_taurus,23,UNC5CL,14959071,14965828,6757,-1
XP_015315317.1,Bos_taurus,23,UNC5CL,14959071,14965828,6757,-1
XP_015315306.1,Bos_taurus,23,TSPO2,14974417,14975436,1019,1
NP_001029527.1,Bos_taurus,23,APOBEC2,14985546,14994946,9400,1
NP_001070581.1,Bos_taurus,23,OARD1,15000774,15005102,4328,-1
NP_001014956.1,Bos_taurus,23,NFYA,15013685,15029907,16222,1
NP_001073048.1,Bos_taurus,23,TREM2,15090366,15094707,4341,-1
NP_996853.1,Bos_taurus,23,TREM1,15148526,15163157,14631,-1
NP_001192453.1,Bos_taurus,23,FOXP4,15391989,15423646,31657,1
NP_001192466.1,Bos_taurus,23,MDFI,15467449,15482104,14655,1
NP_001192595.1,Bos_taurus,23,TFEB,15507709,15514007,6298,-1
NP_001192720.1,Bos_taurus,23,PGC,15544731,15568677,23946,-1
NP_001092388.1,Bos_taurus,23,FRS3,15592630,15598158,5528,-1
NP_001107190.1,Bos_taurus,23,TOMM6,15609410,15610160,750,1
NP_001096763.1,Bos_taurus,23,MED20,15687640,15696662,9022,-1
NP_001014924.1,Bos_taurus,23,BYSL,15697194,15705885,8691,1
NP_001029881.1,Bos_taurus,23,CCND3,15708570,15714284,5714,-1
NP_001094670.1,Bos_taurus,23,TAF8,15803563,15820671,17108,1
XP_015315308.1,Bos_taurus,23,C23H6orf132,15841663,15874544,32881,-1
NP_001070551.1,Bos_taurus,23,MGC137036,15887225,15893213,5988,1
NP_776971.1,Bos_taurus,23,GUCA1A,15901354,15908049,6695,1
NP_777211.1,Bos_taurus,23,GUCA1B,15910681,15920974,10293,-1
NP_001030391.1,Bos_taurus,23,MRPS10,15930317,15941557,11240,-1
NP_001179567.1,Bos_taurus,23,UBR2,16264296,16369924,105628,1
NP_001159959.1,Bos_taurus,23,PRPH2,16376477,16390351,13874,-1
NP_001069177.1,Bos_taurus,23,TBCC,16406537,16407575,1038,-1
NP_001192709.1,Bos_taurus,23,GLTSCR1L,16478579,16509798,31219,1
NP_001193230.1,Bos_taurus,23,RPL7L1,16520011,16524508,4497,1
XP_002697289.1,Bos_taurus,23,C23H6orf226,16541218,16541560,342,-1
NP_001069101.1,Bos_taurus,23,PTCRA,16554188,16559231,5043,1
NP_001068907.1,Bos_taurus,23,CNPY3,16562967,16571110,8143,1
NP_001193045.1,Bos_taurus,23,GNMT,16579608,16582852,3244,1
NP_001179876.1,Bos_taurus,23,PEX6,16583614,16597347,13733,-1
NP_001193287.1,Bos_taurus,23,PPP2R5D,16602270,16624415,22145,1
NP_777073.1,Bos_taurus,23,MEA1,16625595,16626515,920,-1
NP_001014966.1,Bos_taurus,23,KLHDC3,16629725,16633148,3423,1
NP_001098949.1,Bos_taurus,23,RRP36,16634042,16637619,3577,1
XP_005223608.1,Bos_taurus,23,CUL7,16640985,16654717,13732,-1
NP_001035617.2,Bos_taurus,23,MRPL2,16656329,16660414,4085,-1
NP_001179894.1,Bos_taurus,23,PTK7,16677998,16739973,61975,1
NP_001192945.1,Bos_taurus,23,SRF,16747957,16754379,6422,1
XP_010816567.1,Bos_taurus,23,DNPH1,16795449,16797797,2348,-1
NP_001094517.1,Bos_taurus,23,SLC22A7,16865903,16871554,5651,1
NP_001179618.1,Bos_taurus,23,CRIP3,16872591,16875110,2519,-1
NP_001076963.1,Bos_taurus,23,DLK2,16981991,16985997,4006,-1
NP_001179348.1,Bos_taurus,23,TJAP1,17018937,17024703,5766,1
NP_001069687.1,Bos_taurus,23,YIPF3,17031400,17035246,3846,-1
NP_001033213.1,Bos_taurus,23,POLR1C,17035558,17042137,6579,1
XP_002697347.2,Bos_taurus,23,XPO5,17044425,17085615,41190,-1
NP_001029622.1,Bos_taurus,23,POLH,17092571,17115947,23376,1
NP_001076890.1,Bos_taurus,23,GTPBP2,17119814,17126853,7039,-1
NP_001069849.1,Bos_taurus,23,MAD2L1BP,17131608,17135248,3640,1
NP_001039732.1,Bos_taurus,23,RSPH9,17138234,17151388,13154,1
NP_001094699.1,Bos_taurus,23,MRPS18A,17152109,17168144,16035,-1
XP_005223613.3,Bos_taurus,23,LOC107131286,17257442,17260947,3505,-1
NP_001303884.1,Bos_taurus,23,VEGFA,17260415,17269465,9050,1
NP_001303921.1,Bos_taurus,23,VEGFA,17260415,17269465,9050,1
NP_001303885.1,Bos_taurus,23,VEGFA,17260415,17269399,8984,1
NP_776641.1,Bos_taurus,23,VEGFA,17260415,17269399,8984,1
NP_001303922.1,Bos_taurus,23,VEGFA,17260415,17269399,8984,1
XP_010816570.1,Bos_taurus,23,C23H6orf223,17512651,17513651,1000,1
XP_015315310.1,Bos_taurus,23,TCTE1,17585592,17597948,12356,-1
NP_001178140.1,Bos_taurus,23,AARS2,17609852,17676785,66933,-1
NP_001069805.1,Bos_taurus,23,MRPL14,17645296,17647817,2521,-1
NP_001157411.1,Bos_taurus,23,TMEM63B,17663878,17797642,133764,1
XP_002697305.3,Bos_taurus,23,SPATS1,17681088,17726157,45069,1
NP_001070010.1,Bos_taurus,23,CDC5L,17731148,17771196,40048,1
XP_015315311.1,Bos_taurus,23,CAPN11,17807544,17820030,12486,1
NP_001029570.2,Bos_taurus,23,SLC29A1,17846050,17855653,9603,1
NP_001073105.1,Bos_taurus,23,HSP90AB1,17868994,17873174,4180,1
