acc,start,end,strand,chromosome,species,symbol,name,length
NP_032138.3,3538298,3565142,1,13,Mus_musculus,Gdi2,rab GDP dissociation inhibitor beta,26844
NP_598824.3,3566663,3599964,-1,13,Mus_musculus,Fam208b,protein FAM208B,33301
NP_001254653.1,3634132,3650215,1,13,Mus_musculus,Asb13,ankyrin repeat and SOCS box protein 13 isoform 3,16083
NP_081692.1,3803753,3804203,-1,13,Mus_musculus,Calml3,calmodulin-like protein 3,450
NP_064420.2,3837895,3838342,1,13,Mus_musculus,Calm4,calmodulin-4,447
NP_001008706.1,3854267,3854730,1,13,Mus_musculus,Calm5,calmodulin 5,463
NP_001040624.1,3884069,3893385,-1,13,Mus_musculus,Net1,neuroepithelial cell-transforming gene 1 protein isoform 2,9316
NP_001029051.2,3924734,3933562,1,13,Mus_musculus,Tubal3,tubulin alpha chain-like 3,8828
NP_112540.2,3941155,3941650,-1,13,Mus_musculus,Ucn3,urocortin-3 precursor,495
NP_598833.1,4059631,4088990,1,13,Mus_musculus,Akr1c14,3-alpha-hydroxysteroid dehydrogenase,29359
NP_598827.1,4132793,4150598,-1,13,Mus_musculus,Akr1c18,aldo-keto reductase family 1 member C18,17805
NP_038806.2,4191226,4205383,1,13,Mus_musculus,Akr1c13,aldo-keto reductase family 1 member C13,14157
NP_001013807.2,4233770,4248120,1,13,Mus_musculus,Akr1c19,"aldo-keto reductase family 1, member C19",14350
NP_038805.2,4268387,4279356,-1,13,Mus_musculus,Akr1c12,"aldo-keto reductase family 1, member C12",10969
NP_085114.1,4434390,4457191,1,13,Mus_musculus,Akr1c6,estradiol 17 beta-dehydrogenase 5,22801
NP_001298061.1,4487182,4523314,-1,13,Mus_musculus,Akr1c20,"aldo-keto reductase family 1, member C20 isoform 1",36132
NP_084177.2,4574148,4586380,1,13,Mus_musculus,Akr1c21,aldo-keto reductase family 1 member C21,12232
NP_061347.2,4593255,4609123,-1,13,Mus_musculus,Akr1e1,"1,5-anhydro-D-fructose reductase",15868
NP_035933.2,5861638,5867283,1,13,Mus_musculus,Klf6,Krueppel-like factor 6,5645
NP_660113.1,6548173,6579743,1,13,Mus_musculus,Pitrm1,"presequence protease, mitochondrial precursor",31570
NP_001278000.1,6581459,6648679,-1,13,Mus_musculus,Pfkp,"ATP-dependent 6-phosphofructokinase, platelet type isoform 2",67220
NP_001276459.1,8203220,8757275,1,13,Mus_musculus,Adarb2,double-stranded RNA-specific editase B2 isoform 2,554055
NP_766033.1,8805814,8861225,-1,13,Mus_musculus,Wdr37,WD repeat-containing protein 37 isoform a,55411
NP_663335.2,8885859,8890635,1,13,Mus_musculus,Idi1,isopentenyl-diphosphate Delta-isomerase 1,4776
NP_796171.1,8956810,8959432,1,13,Mus_musculus,Idi2,isopentenyl-diphosphate delta-isomerase 2,2622
NP_081276.2,8973121,8995996,-1,13,Mus_musculus,Gtpbp4,nucleolar GTP-binding protein 1,22875
NP_766173.1,9122145,9170942,1,13,Mus_musculus,Larp4b,la-related protein 4B isoform 1,48797
NP_001074895.2,9276981,9666030,1,13,Mus_musculus,Dip2c,disco-interacting protein 2 homolog C,389049
NP_653099.2,9686861,9735447,-1,13,Mus_musculus,Zmynd11,zinc finger MYND domain-containing protein 11 isoform alpha,48586
NP_150372.1,9877228,9878998,-1,13,Mus_musculus,Chrm3,muscarinic acetylcholine receptor M3,1770
NP_076357.2,11554515,12106446,-1,13,Mus_musculus,Ryr2,ryanodine receptor 2,551931
NP_001074597.1,12187004,12253973,-1,13,Mus_musculus,Mtr,methionine synthase,66969
NP_150371.4,12269493,12340500,-1,13,Mus_musculus,Actn2,alpha-actinin-2,71007
NP_659084.3,12395771,12438677,1,13,Mus_musculus,Heatr1,HEAT repeat-containing protein 1,42906
NP_001277986.1,12440844,12454797,-1,13,Mus_musculus,Lgals8,galectin-8 isoform 3,13953
NP_598398.3,12478182,12519948,-1,13,Mus_musculus,Edaradd,ectodysplasin-A receptor-associated adapter protein isoform 1,41766
NP_080460.2,12566076,12606887,1,13,Mus_musculus,Ero1lb,ERO1-like protein beta precursor,40811
NP_035248.2,12790930,12800012,-1,13,Mus_musculus,Prl2c3,prolactin-2C3 precursor,9082
NP_112468.1,12996234,13005326,-1,13,Mus_musculus,Prl2c2,prolactin-2C2 precursor,9092
NP_862900.1,13182781,13191815,1,13,Mus_musculus,Prl2c5,"prolactin family 2, subfamily c, member 5 isoform 2 precursor",9034
XP_006516887.1,13320937,13322532,-1,13,Mus_musculus,Gm7040,prolactin-2C3-like,1595
NP_114388.2,13359311,13393493,-1,13,Mus_musculus,Gpr137b,integral membrane protein GPR137B,34182
NP_035047.2,13437701,13510067,1,13,Mus_musculus,Nid1,nidogen-1 precursor,72366
NP_034878.2,13616553,13777179,1,13,Mus_musculus,Lyst,lysosomal-trafficking regulator,160626
NP_034447.1,13806071,13825375,1,13,Mus_musculus,Gng4,guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4 precursor,19304
NP_848755.1,13954804,13997033,1,13,Mus_musculus,B3galnt2,"UDP-GalNAc:beta-1, 3-N-acetylgalactosaminyltransferase 2 precursor",42229
NP_848027.1,13998088,14029375,-1,13,Mus_musculus,Tbce,tubulin-specific chaperone E,31287
NP_034412.1,14053693,14057865,-1,13,Mus_musculus,Ggps1,geranylgeranyl pyrophosphate synthase,4172
NP_919238.1,14064873,14197733,1,13,Mus_musculus,Arid4b,AT-rich interactive domain-containing protein 4B isoform 1,132860
NP_001074817.3,14230648,14434460,-1,13,Mus_musculus,Hecw1,E3 ubiquitin-protein ligase HECW1,203812
NP_083547.1,14610485,14613018,-1,13,Mus_musculus,Mrpl32,"39S ribosomal protein L32, mitochondrial",2533
NP_032970.2,14613274,14625465,1,13,Mus_musculus,Psma2,proteasome subunit alpha type-2,12191
NP_598828.3,14636563,14637829,1,13,Mus_musculus,AW209491,UPF0415 protein C7orf25 homolog,1266
